res,message
spam,"You've been selected for a free prize! Send ""WIN"" to 30303 now to claim."
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
spam,Click here for your free prize of $1000: http://freeprizes.com
spam,Your account has been credited with 100 bonus points! Redeem now at: http://rewards.com
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|
spam,"Dear customer, thank you for choosing Central Bank ofIndia as your preferred banker.For any information/support, Please contact our toll free no. 18003030 -CBoI"
ham,Aight do you still want to get money
spam,"Hi Mudra Finance Loan Yojna Rs.1,00000-/ To Rs.25,00000-/ minimum Interests and maximum subsidy For more detail Call 8929810695 AGCBCA"
ham,Hi..i got the money da:)
ham,I have no money 4 steve mate! !
spam,Free 1000 bonus points in your account. Redeem them here: http://bonuslink.com
spam,Urgent: Your bank account has been frozen. Call 123-456-7890 to unlock it.
ham,Dear customer your Atal Pension Yojana contribution amount for the Month October is Rs 42/- Kindly maintain sufficient balance in your a/c XXXX7152 and avoid penalty if any. Canara Bank.
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
ham,Cancel cheyyamo?and get some money back?
spam,"Dear Jayaraj, Claim Your Rs.2500 Voucher with a HDFC Bank Credit Card in 3 steps Today: https://hdfcbk.io/HDFCBK/s/gAn3BBL2 T&C"
spam,Your account has been credited with $2500. Please call 0909-098-7654 to confirm your details.
spam,Dear User Good News! Your Wallet A/c is credited successfully with Rs. 15000 on 17-10-2024 Check now http://Kx7.in/LXFAST/hNKCMO Fast Loans
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,Can you do online transaction?
ham,So that takes away some money worries
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over Ã¥Â£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
spam,Claim your $5000 reward by calling 123-456-7890 now.
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,"IndianClearingCorporation has requested money through Google-pay. On approval, Rs 1000.00 will be debited from your Bank Account-ICICI Bank."
spam,"Congrats 79046XX, INR. 10,000 to INR. 2,00,000* loan is ready to be credited to your Bank A/c on 23-12-2024. Check Offer http://kx16.in/MOBIKW/9NaEhu -MobiKwik"
ham,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
spam,Your mobile recharge has been successful! Top-up with $500 for bonus rewards.
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
spam,Alert: Your bank account has been compromised. Call now to secure it: 0906001234.
spam,You’ve earned 500 reward points! Redeem your points here: http://redeemreward.com
ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry"
spam,Congratulations! You’ve won a free laptop! Visit http://freegift.com to claim.
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
spam,"Dear Customer, All Online Channels will not be available on 16-02-25 from 2:30AM to 3:30AM due to planned activity. We regret for the inconvenience-Canara Bank"
spam,"Your mobile account has been credited with 200 free minutes. Text ""REDEEM"" to activate."
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
spam,You've won a $1000 cash prize! Call 0901-203040 to collect your prize.
spam,"Congrats 79046XX, INR. 10,000 to INR. 2,00,000* loan is ready to be credited to your Bank A/c on 23-12-2024. Check Offer http://kx16.in/MOBIKW/9NaEhu -MobiKwik"
ham,Let me know when you've got the money so carlos can make the call
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
spam,"You've been credited $300. Text ""CONFIRM"" to 9876543210 to activate."
spam,"You’ve been selected to receive a $300 gift card. To claim it text ""REDEEM"" to 7743."
spam,Congratulations! You've won an all-expenses-paid vacation. Claim it now at: http://vacationwin.com.
spam,Your loan application has been approved for $5000. To confirm visit: http://loanconfirm.com
